Name,Trigger,AttackName,Impact,Puncture,Slash,Cold,Electricity,Heat,Toxin,Blast,Corrosive,Gas,Magnetic,Radiation,Viral,Void,BaseDamage,BaseDps,TotalDamage,CritChance,CritMultiplier,AvgShotDmg,BurstDps,SustainedDps,LifetimeDmg,StatusChance,ForcedProcs,AvgProcCount,AvgProcPerSec,Multishot,FireRate,ChargeTime,Disposition,Mastery,Magazine,AmmoPickup,AmmoMax,Reload,ShotType,ShotSpeed,PunchThrough,Accuracy,Introduced,IntroducedDate,Slot,Class,AmmoType,Range,InternalName,Family,FalloffStart,FalloffEnd,FalloffReduction,AvgSpread,MinSpread,MaxSpread
Phantasma,Held,Cluster Bombs Explosion,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18,0.0,0,18.0,36.0,18.0,0.03,1.5,18.27,36.54,33.495,5225.22,0.37,,1.37,2.74,1,2.0,0.0,1.05,9,11,15,275,0.5,AoE,,0.0,100.0,Update 23.5,2018-08-24,Primary,Shotgun,Primary,2.0,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0.0,inf,0.0,,,
Trumna Prime,Auto,Auto,32.0,0.0,0.0,0,0,53,0,0,0,0,0,0,0.0,0,85.0,396.95,85.0,0.24,2.4,113.56,530.3252,493.4542950722,85170.0,0.34,,0.34,1.5878,1,4.67,0.0,0.5,15,250,60,500,4.0,Hit-Scan,,0.0,200.0,Hotfix 37.0.9,2024-11-13,Primary,Rifle,Primary,300.0,/Lotus/Weapons/Thanotech/ThanoRifle/ThanotechRifle,Trumna,0.0,inf,0.0,0.5,0.3,0.7
Trumna Prime,Auto / Semi,Auto AoE,0.0,0.0,0.0,0,0,50,0,0,0,0,0,0,0.0,0,50.0,233.5,50.0,0.24,2.4,66.8,311.956,290.26723239541,50100.0,0.34,,0.34,1.5878,1,4.67,0.0,0.5,15,250,60,500,4.0,AoE,,0.0,200.0,Hotfix 37.0.9,2024-11-13,Primary,Rifle,Primary,1.6,/Lotus/Weapons/Thanotech/ThanoRifle/ThanotechRifle,Trumna,0.0,1.6,0.15,,,
Trumna Prime,Semi-Auto,Grenade Impact,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,100.0,133.0,100.0,0.38,2.4,153.2,203.756,199.51041829861,114900.0,0.5,,0.5,0.665,1,1.33,0.0,0.5,15,250,60,500,4.0,,,0.0,9.1,Hotfix 37.0.9,2024-11-13,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Thanotech/ThanoRifle/ThanotechRifle,Trumna,0.0,inf,0.0,11.0,6.0,16.0
Trumna Prime,Auto / Semi,Grenade Bounce AoE,0.0,0.0,0.0,0,0,1150,0,0,0,0,0,0,0.0,0,1150.0,1529.5,1150.0,0.38,2.4,1761.8,2343.194,2294.369810434,1321350.0,0.5,,0.5,0.665,1,1.33,0.0,0.5,15,250,60,500,4.0,AoE,,0.0,200.0,Hotfix 37.0.9,2024-11-13,Primary,Rifle,Primary,6.0,/Lotus/Weapons/Thanotech/ThanoRifle/ThanotechRifle,Trumna,0.0,6.0,0.4,,,
Stradavar,Auto / Semi,Full Auto Mode,9.8,9.8,8.4,0,0,0,0,0,0,0,0,0,0.0,0,28.0,280.0,28.0,0.24,2.0,34.72,347.2,265.50588235294,21005.6,0.12,,0.12,1.2,1,10.0,0.0,1.1,8,65,80,540,2.0,Hit-Scan,,0.0,14.3,Update 18.11,2016-05-11,Primary,Rifle,Primary,300.0,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0.0,inf,0.0,7.0,6.0,8.0
Stradavar,Semi-Auto,Semi-Auto Mode,7.5,30.0,12.5,0,0,0,0,0,0,0,0,0,0.0,0,50.0,250.0,50.0,0.28,2.0,64.0,320.0,277.33333333333,38720.0,0.16,,0.16,0.8,1,5.0,0.0,1.1,8,65,80,540,2.0,Hit-Scan,,0.0,28.6,Update 18.11,2016-05-11,Primary,Rifle,Primary,300.0,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0.0,inf,0.0,3.5,0.0,7.0
Prisma Lenz,Charge,Charged Shot,56.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,56.0,93.333333333333,56.0,0.5,2.8,106.4,88.666666666667,59.111111111111,957.6,0.16,,1.16,0.64444444444444,1,1.0,1.2,0.95,12,1,1,8,0.6,Projectile,60,0.0,16.7,Hotfix 33.0.10,2023-05-12,Primary,Bow,Primary,0.0,/Lotus/Weapons/Corpus/Bow/Longbow/PrismaLenz/PrismaLenzWeapon,Lenz,0.0,inf,0.0,0.0,0.0,0.0
Prisma Lenz,Charge,Initial Blast,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.0,0,10.0,16.666666666667,10.0,0.5,2.8,19.0,15.833333333333,10.555555555556,171.0,0.16,,1.16,0.64444444444444,1,1.0,1.2,0.95,12,1,1,8,0.6,AoE,,0.0,16.7,Hotfix 33.0.10,2023-05-12,Primary,Bow,Primary,7.2,/Lotus/Weapons/Corpus/Bow/Longbow/PrismaLenz/PrismaLenzWeapon,Lenz,0.0,7.2,0.7,,,
Prisma Lenz,Charge,Bubble Collapse,0.0,0.0,0.0,0,0,0,0,740,0,0,0,0,0.0,0,740.0,1233.3333333333,740.0,0.5,2.8,1406.0,1171.6666666667,781.11111111111,12654.0,0.16,,0.16,0.088888888888889,1,1.0,1.2,0.95,12,1,1,8,0.6,AoE,,0.0,16.7,Hotfix 33.0.10,2023-05-12,Primary,Bow,Primary,7.2,/Lotus/Weapons/Corpus/Bow/Longbow/PrismaLenz/PrismaLenzWeapon,Lenz,0.0,7.2,0.7,,,
Ignis,Held,Normal Attack,0.0,0.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,33.0,264.0,33.0,0.11,2.0,36.63,293.04,278.20253164557,21978.0,0.27,,0.27,2.16,1,8.0,0.0,0.6,5,150,40,150,2.0,Hit-Scan,,0.0,100.0,Update 8.0,2013-05-23,Primary,Rifle,Primary,20.0,/Lotus/Weapons/ClanTech/Chemical/FlameThrower,Ignis,0.0,inf,0.0,0.0,0.0,0.0
Zhuge,Auto,Normal Attack,5.0,75.0,20.0,0,0,0,0,0,0,0,0,0,0.0,0,100.0,417.0,100.0,0.2,2.0,120.0,500.4,328.94001643385,67200.0,0.35,,0.35,1.4595,1,4.17,0.0,1.2,10,20,80,540,2.5,Projectile,90,0.0,40.0,Update 18.6,2016-03-16,Primary,Crossbow,Primary,0.0,/Lotus/Weapons/Tenno/LongGuns/RepeatingCrossbow/RepeatingCrossbow,Zhuge,0.0,inf,0.0,2.5,0.0,5.0
Kuva Bramma,Charge,Charged Shot,187.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,187.0,311.66666666667,187.0,0.35,2.1,414.392,690.65333333333,414.392,2486.352,0.21,,0.21,0.21,1,0.667,0.4,0.65,15,1,1,5,0.6,Projectile,50,0.0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0.0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0.0,inf,0.0,6.0,0.0,12.0
Kuva Bramma,Charge,Radial Attack,0.0,0.0,0.0,0,0,0,0,839,0,0,0,0,0.0,0,839.0,1398.3333333333,839.0,0.35,2.1,1859.224,3098.7066666667,1859.224,11155.344,0.21,,0.21,0.21,1,0.667,0.4,0.65,15,1,1,5,0.6,AoE,,0.0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,8.3,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0.0,8.3,0.9,,,
Kuva Bramma,Charge,Cluster Bomb Contact,49.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,49.0,245.0,147.0,0.35,2.1,325.752,542.92,325.752,1954.512,0.21,,0.63,0.63,3,1.0,0.4,0.65,15,1,1,5,0.6,Projectile,30,0.0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0.0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0.0,inf,0.0,,,
Kuva Bramma,Charge,Cluster Bomb Explosion,0.0,0.0,0.0,0,0,0,0,57,0,0,0,0,0.0,0,57.0,285.0,171.0,0.35,2.1,378.936,631.56,378.936,2273.616,0.21,,0.63,0.63,3,1.0,0.4,0.65,15,1,1,5,0.6,AoE,,0.0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0.0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0.0,3.5,0.5,,,
Zarr,Semi-Auto,Cannon Mode Projectile,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,25.0,41.75,25.0,0.17,2.5,31.375,52.39625,23.261376248613,1976.625,0.29,,0.29,0.4843,1,1.67,0.0,1.15,7,3,9,60,2.25,Projectile,40,0.0,100.0,Update 19.0,2016-11-11,Primary,Launcher,Primary,0.0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0.0,inf,0.0,0.0,0.0,0.0
Zarr,Semi-Auto,Cannon Mode Explosion,0.0,0.0,0.0,0,0,0,0,175,0,0,0,0,0.0,0,175.0,292.25,175.0,0.17,2.5,219.625,366.77375,162.82963374029,13836.375,0.29,,0.29,0.4843,1,1.67,0.0,1.15,7,3,9,60,2.25,AoE,,0.0,,Update 19.0,2016-11-11,Primary,Launcher,Primary,4.0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0.0,4.0,0.5,,,
Zarr,Semi-Auto,Cannon Mode Cluster Bombs,0.0,0.0,0.0,0,0,0,0,50,0,0,0,0,0.0,0,50.0,501.0,300.0,0.17,2.5,376.5,628.755,279.13651498335,23719.5,0.048,,0.288,0.48096,6,1.67,0.0,1.15,7,3,9,60,2.25,Projectile,8,0.0,,Update 19.0,2016-11-11,Primary,Launcher,Primary,0.0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0.0,inf,0.0,,,
Zarr,Semi-Auto,Barrage Mode,24.0,40.0,16.0,0,0,0,0,0,0,0,0,0,0.0,0,80.0,2400.0,800.0,0.17,2.5,1004.0,3012.0,926.76923076923,63252.0,0.087,,0.87,2.61,10,3.0,0.0,1.15,7,3,9,60,2.25,Projectile,120,1.6,1.4,Update 19.0,2016-11-11,Primary,Launcher,Primary,10.0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0.0,inf,0.0,70.0,60.0,80.0
Battacor,Auto Burst,Normal Attack,0.0,24.0,0.0,0,0,0,0,0,0,0,42,0,0.0,0,66.0,165.0,66.0,0.32,2.4,191.136,238.92,843.24705882353,149086.08,0.18,,0.18,0.45,1,2.5,0.0,1.1,10,60,80,720,2.0,Projectile,120,0.0,25.0,Update 24.0,2018-11-08,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0.0,inf,0.0,4.0,0.0,8.0
Battacor,Auto Charge,Secondary Fire,0.0,0.0,0.0,0,0,0,0,0,0,0,0,208,0.0,0,208.0,1040.0,208.0,0.34,3.0,349.44,873.6,806.4,272563.2,0.08,,0.08,0.13333333333333,1,5.0,0.4,1.1,10,60,80,720,2.0,Hit-Scan,,2.0,100.0,Update 24.0,2018-11-08,Primary,Rifle,Primary,300.0,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0.0,inf,0.0,0.0,0.0,0.0
Battacor,Auto Burst,Secondary Fire AoE,0.0,0.0,0.0,0,0,0,0,0,0,0,0,208,0.0,0,208.0,1040.0,208.0,0.34,3.0,349.44,1747.2,1497.6,272563.2,0.5,,0.5,2.5,1,5.0,0.0,1.1,10,60,80,720,2.0,AoE,,0.0,,Update 24.0,2018-11-08,Primary,Rifle,Primary,3.4,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0.0,3.4,0.4,,,
Boltor,Auto,Normal Attack,2.5,20.0,2.5,0,0,0,0,0,0,0,0,0,0.0,0,25.0,218.75,25.0,0.1,1.8,27.0,236.25,171.29909365559,16200.0,0.14,,0.14,1.225,1,8.75,0.0,1.3,2,60,80,540,2.6,Projectile,85,0.0,25.0,Update 6.0,2013-01-29,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Tenno/Rifle/BoltoRifle,Boltor,0.0,inf,0.0,4.0,2.0,6.0
Boltor,Auto,Incarnon Form,0.4,1.2,2.4,0,0,0,0,0,0,0,0,0,0.0,0,4.0,120.0,12.0,0.22,2.8,16.752,167.52,116.87441860465,10051.2,0.0933,,0.2799,2.799,3,10.0,0.0,1.3,2,60,80,540,2.6,Projectile,0,0.6,10.0,Update 6.0,2013-01-29,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Tenno/Rifle/BoltoRifle,Boltor,0.0,inf,0.0,10.0,8.0,12.0
Phenmor,Auto / Semi,Normal Attack,0.0,42.0,98.0,0,0,0,0,0,0,0,0,0,0.0,0,140.0,420.0,140.0,0.2,2.0,168.0,504.0,393.75,95760.0,0.2,,0.2,0.6,1,3.0,0.0,0.6,14,30,80,540,2.8,Projectile,120,0.0,28.6,Update 31.5,2022-04-27,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Tenno/Zariman/LongGuns/SemiAutoRifle/ZarimanSemiAutoRifle,Phenmor,0.0,inf,0.0,3.5,2.0,5.0
Phenmor,Auto,Incarnon Form,0.0,0.0,80.0,0,0,0,0,0,0,0,0,60,0.0,0,140.0,1866.2,140.0,0.2,2.0,168.0,2239.44,997.90862099697,95760.0,0.2,,0.2,2.666,1,13.33,0.0,0.6,14,30,80,540,2.8,Projectile,80,3.0,14.3,Update 31.5,2022-04-27,Primary,Rifle,Primary,0.0,/Lotus/Weapons/Tenno/Zariman/LongGuns/SemiAutoRifle/ZarimanSemiAutoRifle,Phenmor,0.0,inf,0.0,7.0,6.0,8.0
Amprex,Held,Normal Attack,0.0,0.0,0.0,0,22,0,0,0,0,0,0,0,0.0,0,22.0,264.0,22.0,0.32,2.2,30.448,365.376,316.06920415225,48716.8,0.22,,0.22,2.64,1,12.0,0.0,0.85,10,100,60,700,2.6,Hit-Scan,,0.0,12.5,Update 13.1,2014-04-23,Primary,Rifle,Primary,18.0,/Lotus/Weapons/Corpus/LongGuns/ChainLightningGun/ChainLightningRifle,Amprex,0.0,inf,0.0,8.0,8.0,8.0
Shedu,Auto,Normal Attack,0.0,0.0,0.0,0,0,71,0,0,0,0,0,0,0.0,0,71.0,177.5,71.0,0.25,2.1,90.525,226.3125,125.4801980198,633.675,0.23,,0.23,0.575,1,2.5,0.0,0.75,13,7,0,0,1.25,Projectile,200,0.0,28.6,Update 27.0,2019-12-13,Primary,Arm Cannon,None,0.0,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0.0,inf,0.0,3.5,0.0,7.0
Shedu,Auto,Radial Attack,0.0,0.0,0.0,0,87,0,0,0,0,0,0,0,0.0,0,87.0,217.5,87.0,0.25,2.1,110.925,277.3125,153.75742574257,776.475,0.23,,0.23,0.575,1,2.5,0.0,0.75,13,7,0,0,1.25,AoE,,0.0,28.6,Update 27.0,2019-12-13,Primary,Arm Cannon,None,6.6,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0.0,6.6,0.6,,,
Fulmin Prime,Auto,Full Auto Mode,0.0,8.0,0.0,0,25,0,0,0,0,0,0,0,0.0,0,33.0,307.89,33.0,0.34,2.4,48.708,454.44564,325.41174701491,3896.64,0.1,,0.1,0.933,1,9.33,0.0,0.65,12,80,0,0,2.7,Hit-Scan,,0.0,111.1,Update 33.6,2023-07-27,Primary,Rifle,None,300.0,/Lotus/Weapons/Tenno/LongGuns/PrimeFulmin/PrimeFulmin,Fulmin,0.0,inf,0.0,0.9,0.8,1.0
Fulmin Prime,Auto / Semi,Semi-Auto Mode,110.0,0.0,0.0,0,440,0,0,0,0,0,0,0,0.0,0,550.0,1193.5,550.0,0.3,2.2,748.0,1623.16,844.40629470672,5984.0,0.22,,1.22,2.6474,1,2.17,0.0,0.65,12,80,0,0,2.7,Projectile,100,0.0,9.1,Update 33.6,2023-07-27,Primary,Rifle,None,0.0,/Lotus/Weapons/Tenno/LongGuns/PrimeFulmin/PrimeFulmin,Fulmin,12.0,24.0,0.6666,11.0,6.0,16.0
Artemis Bow,Charge,Base Uncharged Shot,33.6,192.0,14.4,0,0,0,0,0,0,0,0,0,0.0,0,240.0,1866.6666666667,1680.0,0.25,2.0,2100.0,2333.3333333333,0,0.0,0.2,,1.4,1.5555555555556,7,1.0,0.0,0.0,0,1,0,0,0.9,Projectile,100,1.0,100.0,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0.0,/Lotus/Powersuits/Ranger/ExaltedBow,,0.0,inf,0.0,6.0,0.0,12.0
Artemis Bow,Charge,Base Charged Shot,33.6,192.0,14.4,0,0,0,0,0,0,0,0,0,0.0,0,240.0,1866.6666666667,1680.0,0.25,2.0,2100.0,2100.0,0,0.0,0.2,,1.4,0.73684210526316,7,1.0,1.0,0.0,0,1,0,0,0.9,Projectile,100,1.0,100.0,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0.0,/Lotus/Powersuits/Ranger/ExaltedBow,,0.0,inf,0.0,,,
Artemis Bow,Charge,Concentrated Arrow Shot,33.6,192.0,14.4,0,0,0,0,0,0,0,0,0,0.0,0,240.0,266.66666666667,240.0,0.25,2.0,300.0,333.33333333333,0,0.0,0.2,,1.2,1.3333333333333,1,1.0,0.0,0.0,0,1,0,0,0.9,Projectile,150,0.0,100.0,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0.0,/Lotus/Powersuits/Ranger/ExaltedBow,,0.0,inf,0.0,6.0,0.0,12.0
Artemis Bow,Charge,Concentrated Arrow Headshot Explosion,0.0,0.0,0.0,0,0,0,0,500,0,0,0,0,0.0,0,500.0,555.55555555556,500.0,0.75,2.0,875.0,875.0,460.52631578947,875.0,0.0,,0.0,0.0,1,1.0,1.0,0.0,0,1,0,0,0.9,AoE,,0.0,100.0,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,7.0,/Lotus/Powersuits/Ranger/ExaltedBow,,0.0,7.0,0.0,,,
Afentis,Semi,Semi,20.0,60.0,20.0,0,0,0,0,0,0,0,0,0,0.0,0,100.0,83.3,100.0,0.26,2.2,131.2,109.2896,79.492017310979,2099.2,0.24,,1.24,1.03292,1,0.833,0.0,1.05,8,4,4,12,1.8,Projectile,90,0.0,100.0,Update 32.0,2022-09-07,Primary,Speargun,Primary,0.0,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0.0,inf,0.0,0.0,0.0,0.0
Afentis,Semi,Radial Attack,0.0,0.0,0.0,0,0,0,0,800,0,0,0,0,0.0,0,800.0,666.4,800.0,0.26,2.2,1049.6,874.3168,635.93613848784,16793.6,0.24,,1.24,1.03292,1,0.833,0.0,1.05,8,4,4,12,1.8,AoE,,0.0,100.0,Update 32.0,2022-09-07,Primary,Speargun,Primary,3.0,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0.0,3.0,0.4,,,
Afentis,Semi,Spear Throw,240.0,120.0,40.0,0,0,0,0,0,0,0,0,0,0.0,0,400.0,400.0,400.0,0.3,3.0,640.0,640.0,441.37931034483,10240.0,0.2,,1.2,1.2,1,1.0,0.0,1.05,8,4,4,12,1.8,Projectile,90,0.0,100.0,Update 32.0,2022-09-07,Primary,Speargun,Primary,0.0,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0.0,inf,0.0,0.0,0.0,0.0
Karak,Auto,Normal Attack,13.05,8.7,7.25,0,0,0,0,0,0,0,0,0,0.0,0,29.0,338.43,29.0,0.09,1.5,30.305,353.65935,198.9085208099,17273.85,0.15,,0.15,1.7505,1,11.67,0.0,1.35,1,30,80,540,2.0,Hit-Scan,,0.0,28.6,Update 11.5,2013-12-19,Primary,Rifle,Primary,300.0,/Lotus/Weapons/Grineer/LongGuns/GrineerM16Homage/GrineerM16Rifle,Karak,0.0,inf,0.0,3.5,2.0,5.0
Simulor,Active,Orb Launch,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.12,2.0,0.0,0.0,0,0.0,0.3,,0.3,0.9,1,3.0,0.0,1.25,5,8,15,72,3.0,Projectile,80,0.0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,12.0,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0.0,inf,0.0,3.5,0.0,7.0
Simulor,Active,Orb Merging Damage,0.0,0.0,0.0,0,0,0,0,0,0,0,100,0,0.0,0,100.0,300.0,100.0,0.12,2.0,112.0,336.0,158.11764705882,8960.0,0.3,,0.3,0.9,1,3.0,0.0,1.25,5,8,15,72,3.0,,,0.0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,12.0,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0.0,inf,0.0,,,
Simulor,Active,Orb Explosion,0.0,0.0,0.0,0,0,0,0,0,0,0,200,0,0.0,0,200.0,600.0,200.0,0.12,2.0,224.0,672.0,316.23529411765,17920.0,0.3,,1.3,3.9,1,3.0,0.0,1.25,5,8,15,72,3.0,AoE,,0.0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,5.0,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0.0,5.0,0.6,,,
